"";"p_sr";"p_mr";"p_pr";"p_ft";"p_rf";"nn"
"2875";16093,8812822077;25865,2058686391;15372,1977722887;23880,0760361371;16558,0569666667;-0,564941397959254
"2876";19361,0160689074;20604,6868119892;18608,7340811599;23880,0760361371;17571,9750816846;0,327159731459302
"2877";19361,0160689074;9499,70167037006;18608,7340811599;5430,53668227666;17571,9750816846;-0,383577938537361
"2878";24987,718446231;18401,906571256;25981,7256174856;5430,53668227666;7772,603;0,840506222712276
"2879";12889,2326799531;1209,28100849874;13131,315782532;5430,53668227666;8759,55375769475;-0,714898640712926
"2880";15790,3769577602;7915,53927741572;15117,9689183868;11254,1980058178;15452,355460117;0,0127826139513227
"2881";33923,6445187769;26998,1702036085;40628,9496200982;22713,5640301003;29253,4135282064;0,766853092062959
"2882";17129,3666244404;15595,0691087646;16301,2942617868;23880,0760361371;15494,3439398424;-0,498467458291791
"2883";28622,3612634455;21722,2478183964;31638,2209830842;22713,5640301003;63515,2994964163;0,780693332716372
"2884";17129,3666244404;22560,3748066938;16301,2942617868;23880,0760361371;15494,3439398424;0,151317756734788
"2885";29027,4056376163;39512,6151877046;32300,1656761093;43289,9607364112;58894,9416290695;2,60723539952725
"2886";17129,3666244404;7904,43390948791;16301,2942617868;5430,53668227666;15494,3439398424;-0,545975012728115
"2887";16906,2016799937;16499,8567073531;16093,1389639388;23880,0760361371;16092,7770157874;-0,533481624963748
"2888";12108,1553743896;-4885,42707821354;12742,235247892;5430,53668227666;7262,96386957435;-0,952988412405314
"2889";15120,8821244201;9471,44580931123;14587,1524697378;23880,0760361371;15814,1332759563;0,00554817744310031
"2890";16683,036735547;4312,27132359147;15889,2907466429;5430,53668227666;20336,7928938012;-0,142351518827009
"2891";13621,7604518522;11305,6143831499;13554,2176669095;11719,6484549964;13672,4324;-0,693014391903702
"2892";14451,38729108;15514,6523715742;14098,7005935215;11719,6484549964;12080,7178227513;-0,347431093904383
"2893";29068,6911523389;17807,0953510348;32367,9359276783;22713,5640301003;71054,9871350595;0,108283561299659
"2894";17687,2789855572;28110,6627360824;16840,1977815795;23880,0760361371;18255,4273210388;0,160643235032761
"2895";21592,6655133744;10610,7124831304;21291,8690083808;5430,53668227666;20146,284330047;0,218015901681734
"2896";11864,9055849427;14535,5649632188;12634,4281268925;23024,2258547008;17861,6449;-0,747712119575633
"2897";18245,1913466739;13308,2660105387;17404,9265473468;11254,1980058178;17142,5483547113;-0,685784997763734
"2898";28594,4656453897;70390,4457301283;31592,8329669323;80588,4320458424;65333,1194964163;2,59482850414095
"2899";14005,0574021866;18831,3382907985;13797,2687065552;11719,6484549964;10865,8712595731;-0,368031745233205
"2900";12666,0677355064;8798,82022098452;13013,5470279001;11254,1980058178;8410,63183514295;-0,249234215678821
"2901";16013,5419022069;24032,361091421;15304,088695771;23880,0760361371;14185,2249047646;0,0401851360437074
"2902";14652,235741082;3482,5574440239;14240,7075323719;11254,1980058178;15411,5603333333;-0,66040644975685
"2903";63994,0049582477;55244,8358643716;77137,8485790547;22713,5640301003;32080,7675451826;1,25410202055729
"2904";16236,7068466536;-965,941365236416;15494,7156007886;5430,53668227666;15222,1848350503;-0,0135527040920144
"2905";14897,7171799734;10962,9177018488;14419,5613205905;11719,6484549964;12518,6112335927;-0,62608559218521
"2906";20476,8407911409;15300,5175482472;19906,4653919349;11254,1980058178;19296,3904735365;0,359832726345583
"2907";19361,0160689074;15809,5158936577;18608,7340811599;11254,1980058178;17571,9750816846;0,333596925696274
"2908";18914,686180014;16327,3199403612;18115,5901320069;23880,0760361371;16176,8677722222;-0,404776988811125
"2909";17129,3666244404;28982,659726087;16301,2942617868;23880,0760361371;15494,3439398424;-0,0944188937931089
"2910";18245,1913466739;31391,505368297;17404,9265473468;23880,0760361371;17142,5483547113;-0,0518396135047166
"2911";17073,5753883287;9538,78882614709;16248,8543835417;11254,1980058178;29541,0714;0,106257956609757
"2912";19361,0160689074;16723,5291638002;18608,7340811599;11254,1980058178;17571,9750816846;0,316158594769
"2913";13781,8924577399;18148,9861775497;13653,9636075365;11719,6484549964;10577,2828184279;-0,686670496353896
"2914";14897,7171799734;8443,90190460254;14419,5613205905;11719,6484549964;12518,6112335927;-0,612818222356437
"2915";78475,5496620988;81895,8787730671;61809,1687868378;71359,6799292585;66324,3873578;2,43971553913922
"2916";17129,3666244404;4283,88955275156;16301,2942617868;5430,53668227666;15494,3439398424;-0,108139164220362
"2917";19890,7315392933;49468,7458200911;19213,4787362786;52903,2995233519;23744,9627641026;1,93465400467166
"2918";16013,5419022069;10290,0218528444;15304,088695771;11254,1980058178;14185,2249047646;-0,220691082048288
"2919";14897,7171799734;39440,025209357;14419,5613205905;23024,2258547008;12518,6112335927;-0,628556151010303
"2920";13781,8924577399;-3249,11666902993;13653,9636075365;5430,53668227666;10577,2828184279;-0,666627469530533
"2921";19918,9284300242;8734,38244532794;19246,2499813828;5430,53668227666;18938,6939882345;-0,343228707167346
"2922";21592,6655133744;21680,2157742055;21291,8690083808;23880,0760361371;20146,284330047;0,212351433614547
